Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-07-16,The Hypothesis of the Stolen Painting,1978,https://letterboxd.com/danielquinn/film/the-hypothesis-of-the-stolen-painting/,4,,,2017-07-15
2017-07-17,Hovering Over the Water,1986,https://letterboxd.com/danielquinn/film/hovering-over-the-water/,4.5,,,2017-07-16
2017-07-17,A Walk with Johnny Guitar,1996,https://letterboxd.com/danielquinn/film/a-walk-with-johnny-guitar/,3,,,2017-07-16
2017-07-17,Les Vampires: Episode One - The Severed Head,1915,https://letterboxd.com/danielquinn/film/les-vampires-episode-one-the-severed-head/,4.5,,,2017-07-16
2017-07-17,Les Vampires: Episode Two - The Ring That Kills,1915,https://letterboxd.com/danielquinn/film/les-vampires-episode-two-the-ring-that-kills/,4,,,2017-07-16
2017-07-17,Les Vampires: Episode Three - The Red Codebook,1915,https://letterboxd.com/danielquinn/film/les-vampires-episode-three-the-red-codebook/,4.5,,,2017-07-16
2017-07-18,Les Vampires: Episode Four - The Spectre,1916,https://letterboxd.com/danielquinn/film/les-vampires-episode-four-the-spectre/,3.5,,,2017-07-17
2017-07-19,New Women,1935,https://letterboxd.com/danielquinn/film/new-women/,3.5,,,2017-07-18
2017-07-20,China Is Near,1967,https://letterboxd.com/danielquinn/film/china-is-near/,3.5,,,2017-07-19
2017-07-21,Les Vampires: Episode Five - Dead Man's Escape,1916,https://letterboxd.com/danielquinn/film/les-vampires-episode-five-dead-mans-escape/,4,,,2017-07-20
2017-07-22,Crossroads,1937,https://letterboxd.com/danielquinn/film/crossroads-1937/,3,,,2017-07-21
2017-07-22,Les Vampires: Episode Six - Hypnotic Eyes,1916,https://letterboxd.com/danielquinn/film/les-vampires-episode-six-hypnotic-eyes/,4,,,2017-07-22
2017-07-23,The Haunted House,1921,https://letterboxd.com/danielquinn/film/the-haunted-house/,3.5,,,2017-07-22
2017-07-23,Drugstore Romance,1979,https://letterboxd.com/danielquinn/film/drugstore-romance/,4,,,2017-07-22
2017-07-24,Les Vampires: Episode Seven - Satanas,1916,https://letterboxd.com/danielquinn/film/les-vampires-episode-seven-satanas/,4,,,2017-07-23
2017-07-24,Les Vampires: Episode Eight - The Thunder Master,1916,https://letterboxd.com/danielquinn/film/les-vampires-episode-eight-the-thunder-master/,4.5,,,2017-07-23
2017-07-27,Superbad,2007,https://letterboxd.com/danielquinn/film/superbad/,3,,,2017-07-25
2017-07-27,Les Vampires: Episode Nine - The Poisoner,1916,https://letterboxd.com/danielquinn/film/les-vampires-episode-nine-the-poisoner/,3.5,,,2017-07-26
2017-07-28,Les Vampires: Episode Ten - The Terrible Wedding,1916,https://letterboxd.com/danielquinn/film/les-vampires-episode-ten-the-terrible-wedding/,4,,,2017-07-27
