Ana Schulz
Andrea Morán
Anne-Marie Miéville
Antonietta Pizzorno
Brenda Chapman
Carole Roussopoulos
Chantal Akerman
Cornelia Geiser
Danièle Huillet
Ida Lupino
Ioana Wieder
Lana Wachowski
Laura Mulvey
Lotte Reiniger
Marceline Loridan-Ivens
Marjane Satrapi
Mary Ellen Bute
Mira Nair
Muffie Meyer
Muriel Box
Nadja Ringart
Nicole Brenez
Susan Zeig
Valeria Sarmiento
Valerie Faris
Vickie Bronaugh
Vicky Jenson
Yōko Ono
Zuleica Porto
Agnès Jaoui
Agnès Varda
Alice Guy-Blaché
Alicia Scherson
Alyssa Rallo Bennett
Amy Halpern
Ana Katz
Ana Lily Amirpour
Ana Mariscal
Ana Mendieta
Ana Vaz
Anahí Berneri
Andrea Arnold
Ann Hui
Anna Biller
Anne Charlotte Robertson
Anne Fletcher
Anne Goursaud
Anne-Marie Miéville
Anouk de Clercq
Antoinette Zwirchmayr
Arantxa Echevarria
Arna Selznick
Axelle Ropert
Azadeh Navai
Azin Seraj
Barbara Albert
Barbara Hammer
Barbara Kopple
Barbara Loden
Belén Funes
Betty Thomas
Birgit Hein
Brigitte Sy
Callisto McNulty
Carla Simón
Carole Roussopoulos
Carolee Schneemann
Catherine Breillat
Catherine Hardwicke
Cecilia Bartolomé
Céline Sciamma
Chantal Akerman
Charlotte Pryce
Chick Strand
Claire Denis
Clara Ianni
Clara Law
Claudia Weill
Delphine Seyrig
Deniz Gamze Ergüven
Diane Eskenazi
Dorothy Arzner
Elaine May
Elaine Proctor
Elena Trapé
Emily Tang
Esfir Shub
Eugènia Balcells
Éva Gárdos
Friederike Jehn
Fu-chun Hsu
Germaine Dulac
Greta Gerwig
Gurinder Chadha
Haifaa al-Mansour
Héléna Klotz
Helga Fanderl
Hito Steyerl
Icíar Bollaín
Ida Lupino
Isabel Coixet
Ivy Meeropol
Jackie Raynal
Jane Campion
Jeannette Muñoz
Joanna Hogg
Jodie Mack
Josefina Molina
Julia Ducournau
Julie Delpy
Justine Triet
Kathryn Bigelow
Kelly Reichardt
Kinuyo Tanaka
Kira Muratova
Kristina Grozeva
Laida Lertxundi
Lara Shapiro
Larisa Shepitko
Leontine Sagan
Liliana Cavani
Lilly Wachowski
Liv Ullmann
Lizzie Borden
Lois Weber
Lone Scherfig
Lotte Reiniger
Lucrecia Martel
Lynne Ramsay
Lynne Sachs
Mabel Cheung
Mami Sunada
Manuela de Laborde
Mar Coll
Maren Ade
Maren Wickwire
Margaret Tait
Margarida Cordeiro
Marguerite Duras
María Forteza
Marialy Rivas
Marie Losier
Marie Menken
Marie-Claude Treilhou
Marjorie Keller
Mary Ellen Bute
Mary Harron
Mati Diop
Maya Deren
Mehrnaz Saeed-Vafa
Mercedes Álvarez
Mia Engberg
Mia Hansen-Løve
Milagros Mumenthaler
Mimi Leder
Miranda July
Mónica Savirón
Nancy Meyers
Nanette Burstein
Naoko Ogigami
Naomi Kawase
Nazli Dinçel
Nora Ephron
Nuria Giménez
Pascale Ferran
Paula Heredia
Penelope Spheeris
Pilar Miró
Randa Maroufi
Rei Hayama
Rita Azevedo Gomes
Sara Driver
Sarah Gavron
Sarah Maldoror
Sarah Polley
Sasha Waters Freyer
Sharon Lockhart
Sharon Maguire
Shirley Clarke
Sofia Coppola
Sophie Bruneau
Sophie Calle
Sophie Fiennes
Sophie Letourneur
Su Friedrich
Susan Sontag
Susanne Bier
Talya Lavie
Tamara Jenkins
Tan Chui Mui
Tatiana Huezo
Teresa Villaverde
Ute Aurand
Valentina Alvarado Matos
Valeria Bruni‑Tedeschi
Valérie Donzelli
Valérie Massadian
Věra Chytilová
Vivian Ostrovsky
Yōko Ono
Yuliya Solntseva
Yvonne Rainer
Margarita Alexandre
